word,count
this,698
is,1138
the,2924
th,147
etext,44
file,6
presented,2
by,517
project,41
gutenberg,34
and,2779
in,1327
cooperation,2
with,838
world,144
library,30
inc,25
from,325
their,214
of,2169
future,5
shakespeare,35
cdroms,1
,55684
often,18
releases,1
etexts,8
that,1417
are,422
not,1036
placed,3
public,14
domain,4
has,61
certain,18
copyright,29
implications,1
you,1638
should,193
read,20
electronic,45
version,23
complete,27
works,31
william,47
provided,25
illinois,24
benedictine,24
college,24
permission,22
machine,23
readable,25
copies,46
may,194
be,789
distributed,44
so,641
long,63
as,604
such,179
for,941
your,753
or,390
others,50
personal,23
use,64
only,57
used,27
commercially,22
prohibited,22
commercial,22
distribution,23
includes,22
any,108
service,55
charges,25
download,22
time,201
membership,22
proud,33
to,2195
cooperate,1
presentation,3
reading,9
education,4
entertainment,8
however,1
neither,26
shareware,1
nor,123
under,46
conditions,6
no,473
made,107
access,2
material,2
encouraged,2
give,161
it,895
away,87
anyone,1
like,197
but,791
allowed,1
welcome,46
free,19
plain,15
vanilla,1
texts,1
both,77
humans,1
computers,1
since,73
these,103
prepared,3
hundreds,1
volunteers,1
donations,4
information,8
on,322
contacting,1
get,44
further,32
included,1
below,7
we,356
need,20
january,1
a,1548
trademark,1
tm,1
named,1
shakstxt,2
shakszip,1
corrected,1
editions,1
our,320
new,43
number,10
versions,1
based,1
separate,2
sources,2
letter,23
shaksatxt,1
if,444
would,272
about,29
please,52
call,63
them,179
at,277
email,3
juliancnetcomcom,1
thanks,21
official,1
release,1
date,10
all,447
midnight,7
central,1
last,31
day,71
stated,1
month,3
preliminary,1
posted,1
suggestion,1
comment,4
editing,1
those,82
who,125
wish,26
do,453
sure,40
have,711
an,188
up,92
first,190
edition,1
xxxxxxxxx,1
check,7
sizes,1
week,4
next,17
ftp,4
program,3
bug,1
scrambles,1
tried,2
fix,1
failed,1
look,96
size,5
will,561
try,20
see,167
copy,8
least,11
one,208
byte,1
more,302
less,22
page,12
produce,5
two,72
million,7
dollars,2
each,31
hour,42
work,17
fifty,6
hours,29
conservative,1
estimate,3
how,216
take,142
selected,1
entered,1
proofread,1
edited,1
searched,1
analyzed,1
letters,17
written,6
etc,3
projected,1
audience,7
hundred,10
readers,2
value,2
per,3
text,2
nominally,1
estimated,1
dollar,1
then,257
year,16
four,13
files,7
thus,81
upping,1
productivity,1
goal,3
trillion,2
december,2
x,3
ten,23
thousand,31
titles,2
which,371
expected,3
computer,2
users,2
end,46
than,230
ever,85
gutenbergibc,1
tax,4
deductible,1
extent,2
allowable,1
law,5
ibc,2
subscriptions,1
paper,11
newsletter,1
go,169
too,135
other,99
matters,5
mail,2
p,1
o,287
box,3
champaign,2
il,3
when,321
fails,2
michael,2
s,3
hart,3
executive,1
director,1
hartvmdcsouiucedu,2
internet,4
hartuiucvmd,2
bitnet,3
prefer,1
send,30
compuserve,2
attmail,2
mcimail,1
emulator,2
directly,3
archives,1
mac,1
point,14
click,1
type,1
mrcnextcsouiucedu,1
login,1
anonymous,1
password,1
yourlogin,1
cd,5
etextetext,2
books,5
now,261
also,2
etextarticles,1
suggest,3
gut,3
dir,1
mget,2
set,37
bin,1
zip,1
indexgut,1
list,7
general,19
newsletters,1
legal,4
advisor,1
small,15
print,9
unlike,2
many,76
gutenbergtm,2
protected,2
materials,1
methods,2
effect,8
projects,1
reputation,11
right,36
distribute,3
limited,4
laws,4
statement,3
license,3
b,3
subject,8
honor,1
refund,3
replacement,3
provisions,1
exact,2
including,6
can,170
compressed,1
proprietary,1
form,17
resulting,1
word,53
processing,1
hypertext,2
software,2
either,18
displayed,1
clearly,2
does,55
contain,3
characters,3
intended,2
author,3
although,15
tilde,1
asterisk,1
underline,1
convey,5
punctuation,1
additional,2
indicate,1
links,1
readily,1
convertible,1
reader,1
expense,7
into,74
ascii,2
ebcdic,1
equivalent,1
displays,1
case,17
instance,8
most,165
processors,1
provide,8
agree,1
request,5
cost,9
fee,4
warranty,2
disclaimer,1
damages,5
defect,6
incomplete,1
inaccurate,1
corrupt,9
data,1
transcription,1
errors,9
infringement,1
defective,2
damaged,1
disk,1
virus,1
codes,1
damage,1
cannot,90
equipment,1
described,1
party,4
receive,13
disclaims,1
liability,2
costs,2
expenses,1
fees,2
remedies,2
negligence,1
strict,1
breach,3
contract,3
indirect,2
consequential,1
punitive,1
incidental,1
even,64
notice,3
possibility,1
discover,4
within,70
days,34
receiv,1
ing,1
money,17
paid,10
sending,2
explanatory,1
note,25
person,12
received,4
physical,1
medium,2
must,168
return,30
choose,12
alternatively,2
electronically,2
second,117
opportunity,1
otherwise,3
asis,1
warranties,3
kind,33
express,7
implied,2
merchantability,1
fitness,2
particular,9
purpose,22
some,130
states,2
allow,5
disclaimers,2
exclusion,1
limitation,1
consequen,1
tial,1
above,13
exclusions,1
apply,3
rights,3
indemnity,1
indemnify,1
hold,42
its,4
directors,1
officers,8
members,2
agents,1
harmless,1
lia,1
bility,1
arise,4
indirectly,2
following,4
cause,36
alteration,2
modification,1
addition,6
c,6
what,472
want,14
dont,1
dedicated,2
increasing,3
licensed,1
freely,6
gratefully,1
accepts,1
contributions,1
scanning,1
machines,1
ocr,1
royalty,2
licenses,1
whatever,1
else,44
think,118
pro,1
ject,1
association,1
write,28
us,162
reached,1
internethartvmdcsouiucedu,1
internetvmdcsouiuceduhart,1
prof,1
po,1
charles,24
kramer,1
attorney,3
compuservecom,1
tel,1
v,12
sonnets,1
fairest,7
creatures,6
desire,30
increase,8
thereby,4
beautys,18
rose,13
might,87
never,113
die,60
riper,3
decease,3
his,760
tender,15
heir,8
bear,71
memory,11
thou,722
contracted,3
thine,89
own,129
bright,16
eyes,110
feedst,1
thy,594
lights,1
flame,5
selfsubstantial,1
fuel,1
making,21
famine,3
where,156
abundance,5
lies,28
self,81
foe,2
sweet,108
cruel,11
art,130
worlds,10
fresh,10
ornament,5
herald,2
gaudy,2
spring,12
bud,2
buriest,1
content,18
churl,3
makst,4
waste,10
niggarding,1
pity,37
glutton,1
eat,25
due,9
grave,12
thee,462
forty,2
winters,7
shall,381
besiege,3
brow,12
dig,1
deep,14
trenches,1
field,11
youths,1
livery,2
gazed,1
tattered,2
weed,4
worth,37
held,9
being,99
asked,2
beauty,64
treasure,15
lusty,6
say,198
sunken,2
were,183
alleating,1
shame,29
thriftless,1
praise,42
much,109
deserved,3
couldst,6
answer,43
fair,101
child,19
mine,202
sum,9
my,1477
count,34
make,210
old,84
excuse,15
proving,1
succession,4
blood,42
warm,4
feelst,1
cold,26
glass,13
tell,107
face,50
viewest,1
another,54
whose,71
repair,5
renewest,1
dost,54
beguile,3
unbless,1
mother,36
she,291
uneared,1
womb,4
disdains,1
tillage,1
husbandry,3
he,750
fond,8
tomb,8
selflove,4
stop,9
posterity,3
mothers,9
calls,21
back,34
lovely,8
april,4
her,512
prime,6
through,28
windows,4
age,33
shalt,30
despite,9
wrinkles,7
golden,8
live,78
remembered,4
single,12
image,5
dies,16
unthrifty,1
loveliness,1
why,158
spend,10
upon,204
legacy,3
natures,17
bequest,1
gives,21
nothing,86
doth,132
lend,14
frank,3
lends,4
beauteous,10
niggard,3
abuse,5
bounteous,3
largess,1
given,26
profitless,1
usurer,2
great,122
sums,2
yet,208
canst,19
having,19
traffic,2
alone,42
deceive,4
nature,54
gone,57
acceptable,1
audit,3
leave,73
unused,4
tombed,1
lives,23
executor,1
gentle,50
did,196
frame,7
gaze,6
every,84
eye,73
dwell,11
play,29
tyrants,4
very,106
same,17
unfair,1
fairly,3
excel,1
neverresting,1
leads,4
summer,9
hideous,3
winter,13
confounds,4
him,582
there,192
sap,4
checked,2
frost,1
leaves,12
quite,11
oersnowed,1
bareness,3
summers,13
distillation,1
left,30
liquid,1
prisoner,2
pent,2
walls,4
bereft,2
remembrance,11
was,291
flowers,9
distilled,3
though,103
they,259
meet,23
leese,1
show,59
substance,5
still,79
let,209
ragged,3
hand,92
deface,1
ere,38
vial,1
place,49
selfkilled,1
forbidden,1
usury,1
happies,1
pay,13
willing,4
loan,1
thats,42
breed,6
times,44
happier,3
refigured,1
could,83
death,77
shouldst,17
depart,5
leaving,3
living,21
selfwilled,1
deaths,10
conquest,5
worms,7
lo,6
orient,2
gracious,15
light,20
lifts,1
burning,1
head,34
homage,4
newappearing,1
sight,35
serving,4
looks,31
sacred,5
majesty,22
climbed,1
steepup,1
heavenly,7
hill,4
resembling,2
strong,32
youth,61
middle,2
mortal,14
adore,3
attending,6
pilgrimage,4
highmost,1
pitch,2
weary,11
car,2
feeble,2
reeleth,1
fore,4
duteous,1
converted,3
low,10
tract,1
way,61
outgoing,1
noon,2
unlooked,2
diest,6
unless,18
son,53
music,20
hear,87
hearst,1
sadly,2
sweets,8
war,40
joy,19
delights,5
lovst,8
receivst,2
gladly,4
pleasure,34
annoy,1
true,92
concord,3
welltuned,1
sounds,3
unions,1
married,34
offend,6
ear,21
sweetly,4
chide,12
singleness,1
parts,19
mark,29
string,1
husband,32
strikes,7
mutual,3
ordering,1
sire,2
happy,24
pleasing,5
sing,29
speechless,2
song,21
seeming,11
sings,6
wilt,38
prove,31
none,59
fear,37
wet,4
widows,4
consumst,1
life,97
ah,20
issueless,1
hap,5
wail,2
makeless,1
wife,76
widow,38
weep,23
hast,69
behind,17
private,6
well,306
keep,49
childrens,1
husbands,5
shape,10
mind,39
unthrift,1
shifts,3
enjoys,1
hath,209
kept,19
user,1
destroys,2
love,387
toward,8
bosom,10
sits,6
himself,45
murdrous,3
commits,3
deny,15
bearst,3
unprovident,1
grant,15
beloved,9
evident,1
possessed,2
hate,32
gainst,17
stickst,1
conspire,2
seeking,4
roof,3
ruinate,1
chief,6
change,29
thought,51
i,2469
fairer,8
lodged,1
presence,10
kindhearted,1
me,958
fast,13
wane,1
growst,3
departest,1
youngly,1
bestowst,1
mayst,18
convertest,1
herein,4
wisdom,12
without,47
folly,16
decay,9
minded,1
cease,3
threescore,1
whom,57
store,14
harsh,4
featureless,1
rude,7
barrenly,1
perish,3
best,67
endowed,1
gave,33
gift,13
bounty,7
cherish,1
carved,2
seal,6
meant,5
clock,7
tells,5
brave,22
sunk,1
night,58
behold,18
violet,2
past,24
sable,1
curls,2
silvered,1
oer,19
white,11
lofty,2
trees,10
barren,7
erst,2
heat,7
canopy,2
herd,4
green,12
girded,1
sheaves,1
borne,8
bier,1
bristly,1
beard,14
question,16
among,7
wastes,3
beauties,4
themselves,22
forsake,5
grow,20
scythe,5
defence,6
save,21
takes,9
hence,38
longer,21
yours,37
here,177
against,74
coming,15
prepare,3
semblance,1
lease,4
find,76
determination,1
again,84
after,55
selfs,3
issue,7
lets,29
house,53
fall,37
honour,78
uphold,1
stormy,1
gusts,1
rage,9
eternal,9
unthrifts,1
dear,68
know,211
had,179
father,60
stars,12
judgement,2
pluck,12
methinks,11
astronomy,1
good,326
evil,7
luck,5
plagues,2
dearths,1
seasons,4
quality,6
fortune,63
brief,11
minutes,5
pointing,3
thunder,2
rain,8
wind,20
princes,6
oft,26
predict,1
heaven,56
knowledge,20
derive,4
constant,5
truth,52
together,38
thrive,8
wouldst,18
convert,1
prognosticate,1
truths,5
doom,9
consider,4
thing,43
grows,10
holds,12
perfection,4
little,47
moment,4
huge,5
stage,8
presenteth,1
nought,8
shows,13
whereon,5
secret,3
influence,3
perceive,7
men,71
plants,3
cheered,1
selfsame,2
sky,6
vaunt,1
youthful,5
height,7
decrease,1
wear,21
state,30
out,141
conceit,6
inconstant,3
stay,37
sets,4
rich,21
before,98
wasteful,3
debateth,1
sullied,1
engraft,1
wherefore,20
mightier,1
bloody,11
tyrant,5
fortify,2
means,27
blessed,12
rhyme,10
stand,36
top,5
maiden,8
gardens,1
unset,1
virtuous,12
liker,1
painted,8
counterfeit,10
lines,8
pencil,2
pupil,1
pen,12
inward,5
outward,9
keeps,12
drawn,10
skill,14
believe,28
verse,20
come,249
filled,3
high,33
deserts,3
knows,38
hides,2
half,17
numbers,5
graces,12
poet,4
touches,9
neer,21
touched,1
earthly,4
faces,5
papers,1
yellowed,1
scorned,1
tongue,38
termed,1
poets,5
stretched,1
metre,1
antique,7
alive,5
twice,8
compare,6
temperate,1
rough,5
winds,4
shake,14
darling,2
buds,5
short,10
sometime,10
hot,10
shines,5
gold,35
complexion,8
dimmed,1
declines,1
chance,9
changing,2
course,16
untrimmed,1
fade,2
lose,35
possession,5
owst,1
brag,2
wandrest,1
shade,6
breathe,6
devouring,1
blunt,3
lions,3
paws,1
earth,32
devour,1
brood,1
keen,4
teeth,9
fierce,3
tigers,1
jaws,2
burn,11
longlived,1
phoenix,6
glad,10
sorry,8
fleetst,1
whateer,7
swiftfooted,1
wide,12
fading,2
forbid,9
heinous,1
crime,5
carve,2
loves,65
draw,23
untainted,1
pattern,2
succeeding,2
worst,10
wrong,18
young,60
womans,13
master,74
mistress,60
passion,16
heart,137
acquainted,9
shifting,1
false,33
womens,5
fashion,13
theirs,3
rolling,1
gilding,2
object,4
whereupon,1
gazeth,1
man,190
hue,5
hues,1
controlling,2
steals,2
mens,13
souls,8
amazeth,1
woman,50
wert,10
created,3
till,87
wrought,3
fell,10
adoting,1
defeated,1
adding,1
pricked,1
muse,17
stirred,1
rehearse,4
couplement,1
sun,26
moon,11
seas,4
gems,1
aprils,2
firstborn,3
things,49
rare,10
heavens,13
air,13
rondure,1
hems,1
truly,32
candles,1
fixed,2
hearsay,1
sell,3
persuade,2
am,266
furrows,1
expiate,1
cover,6
seemly,1
raiment,1
breast,13
elder,4
therefore,77
thyself,20
wary,1
bearing,3
chary,1
nurse,4
babe,4
faring,1
ill,212
presume,3
slain,5
gavst,3
unperfect,1
actor,4
put,55
beside,4
part,74
replete,3
strengths,1
weakens,1
trust,24
forget,8
perfect,6
ceremony,4
rite,2
strength,18
seem,31
oercharged,1
burthen,2
eloquence,2
dumb,8
presagers,1
speaking,7
plead,8
recompense,4
expressed,3
learn,12
silent,3
writ,14
belongs,3
fine,13
wit,36
played,2
painter,2
stelled,1
table,4
body,29
wherein,19
tis,167
perspective,2
painters,1
pictured,1
bosoms,3
shop,2
hanging,1
glazed,1
turns,6
done,70
wherethrough,1
peep,4
therein,10
cunning,8
grace,46
favour,17
boast,8
whilst,29
triumph,9
bars,3
favourites,1
spread,3
marigold,1
suns,2
pride,16
buried,12
frown,6
glory,11
painful,1
warrior,2
famoused,1
fight,29
victories,1
once,41
