word,count
this,6847
is,9597
the,27642
th,1151
etext,244
file,19
presented,18
by,4412
project,249
gutenberg,233
and,26728
in,10967
cooperation,2
with,7996
world,849
library,232
inc,224
from,2645
their,2077
of,18173
future,17
shakespeare,268
cdroms,1
,518563
often,123
releases,1
etexts,8
that,11121
are,3851
not,8725
placed,10
public,57
domain,4
has,389
certain,176
copyright,228
implications,1
you,13649
should,1576
read,202
electronic,443
version,222
complete,246
works,251
william,348
provided,252
illinois,223
benedictine,223
college,225
permission,225
machine,223
readable,224
copies,446
may,1865
be,7090
distributed,443
so,5268
long,671
as,5958
such,1615
for,8244
your,6882
or,3124
others,449
personal,234
use,548
only,532
used,242
commercially,221
prohibited,221
commercial,221
distribution,224
includes,223
any,936
service,443
charges,237
download,221
time,1270
membership,221
proud,203
to,19198
cooperate,1
presentation,4
reading,34
education,9
entertainment,37
however,13
neither,185
shareware,1
nor,968
under,290
conditions,29
no,3796
made,827
access,23
material,6
encouraged,3
give,1333
it,7690
away,858
anyone,2
like,1703
but,6270
allowed,5
welcome,365
free,187
plain,115
vanilla,1
texts,1
both,641
humans,1
computers,1
since,448
these,1324
prepared,12
hundreds,4
volunteers,1
donations,4
information,10
on,3051
contacting,1
get,312
further,190
included,2
below,54
we,3306
need,180
january,3
a,14613
trademark,1
tm,1
named,5
shakstxt,2
shakszip,1
corrected,3
editions,1
our,3068
new,213
number,51
versions,1
based,1
separate,5
sources,2
letter,245
shaksatxt,1
if,3503
would,2295
about,403
please,393
call,555
them,1980
at,2509
email,3
juliancnetcomcom,1
thanks,172
official,3
release,8
date,22
all,3887
midnight,43
central,1
last,268
day,720
stated,1
month,42
preliminary,1
posted,7
suggestion,10
comment,14
editing,1
those,547
who,1203
wish,209
do,3754
sure,292
have,5887
an,1836
up,1069
first,1161
edition,2
xxxxxxxxx,1
check,28
sizes,3
week,29
next,167
ftp,4
program,3
bug,3
scrambles,1
tried,20
fix,4
failed,1
look,829
size,13
will,4979
try,93
see,1440
copy,16
least,101
one,1787
byte,1
more,2291
less,221
page,429
produce,19
two,703
million,19
